"Transaction_ID","Date_of_Purchase","Time_of_Purchase","Purchase_Type","Payment_Method","Railcard","Ticket_Class","Ticket_Type","Price","Departure_Station","Arrival_Destination","Date_of_Journey","Departure_Time","Arrival_Time","Actual_Arrival_Time","Journey_Status","Reason_for_Delay","Refund_Request"
"0060fa70-9ec0-40fc-93ed","2024-01-15","12:11:52","Station","Contactless","Senior","Standard","Off-Peak","3","Manchester Piccadilly","Liverpool Lime Street","2024-01-15","13:30:00","14:00:00","14:00:00","On Time","None","No"
"0067d8f1-ffc7-409a-9849","2024-01-08","09:11:00","Station","Contactless","None","Standard","Advance","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-09","07:30:00","08:00:00","08:00:00","On Time","None","No"
"006ac902-3df6-47ac-af7a","2024-01-22","10:52:32","Online","Contactless","Senior","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-01-23","09:15:00","09:45:00","09:45:00","On Time","None","No"
"006ca5f7-aa5d-4235-8534","2024-01-26","06:33:18","Online","Contactless","None","Standard","Anytime","11","Reading","Oxford","2024-01-26","08:00:00","08:25:00","no infor","Cancelled","Signal Failure","No"
"00757987-4620-461f-9942","2024-02-04","02:23:29","Station","Credit Card","None","Standard","Advance","3","Liverpool Lime Street","Manchester Piccadilly","2024-02-29","00:45:00","01:15:00","01:15:00","On Time","None","No"
"0077f046-4e81-4853-bedc","2024-01-27","00:50:02","Online","Credit Card","None","Standard","Off-Peak","5","Liverpool Lime Street","Manchester Piccadilly","2024-01-27","02:15:00","02:45:00","02:45:00","On Time","None","No"
"007957a4-c285-4a9a-865a","2024-01-25","05:54:49","Online","Contactless","None","Standard","Anytime","13","London Euston","Birmingham New Street","2024-01-25","07:15:00","08:35:00","08:35:00","On Time","None","No"
"0079e5ff-5117-46f2-a7e2","2024-01-19","08:16:39","Online","Credit Card","None","Standard","Advance","18","London Paddington","Oxford","2024-01-20","07:45:00","09:15:00","09:15:00","On Time","None","No"
"007c0f11-2a95-48ca-89c2","2024-01-19","00:03:34","Online","Credit Card","None","First Class","Off-Peak","41","London Paddington","Reading","2024-01-19","01:30:00","02:30:00","02:30:00","On Time","None","No"
"0084122d-2f7f-4b5c-ae67","2024-02-08","11:49:53","Station","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-02-24","10:15:00","10:45:00","10:45:00","On Time","None","No"
"0085556f-c3dd-4253-8e71","2024-01-05","18:20:38","Online","Credit Card","Senior","Standard","Anytime","31","London St Pancras","Leicester","2024-01-05","18:45:00","19:45:00","19:45:00","On Time","None","No"
"00859db7-646b-48c7-a48f","2024-02-11","15:00:53","Station","Contactless","None","Standard","Advance","13","London Paddington","Reading","2024-02-21","13:30:00","14:30:00","14:30:00","On Time","None","No"
"008939d0-486e-4b67-a221","2024-01-07","16:41:47","Station","Credit Card","None","First Class","Advance","27","London Paddington","Reading","2024-01-08","15:00:00","16:00:00","16:00:00","On Time","None","No"
"008b3ab4-aa5c-4232-8e42","2024-02-02","06:30:41","Station","Credit Card","None","First Class","Anytime","235","Liverpool Lime Street","London Euston","2024-02-02","08:00:00","10:15:00","10:58:00","Delayed","Weather Conditions","No"
"0092d386-9ec5-4f13-bd31","2024-02-15","15:57:30","Station","Credit Card","Adult","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-02-21","14:15:00","14:45:00","14:45:00","On Time","None","No"
"00942cc0-5f57-40db-a50e","2024-01-23","15:20:59","Station","Contactless","None","Standard","Anytime","70","London Kings Cross","York","2024-01-23","17:45:00","19:35:00","no infor","Cancelled","Traffic","No"
"009fc73b-d641-406d-ad15","2024-02-08","07:26:09","Online","Credit Card","None","Standard","Anytime","25","London Paddington","Reading","2024-02-08","07:45:00","08:45:00","08:45:00","On Time","None","No"
"00a2f8e9-79c0-4395-a20f","2024-01-10","21:45:15","Station","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-01-11","20:15:00","20:45:00","20:45:00","On Time","None","No"
"00a42536-7af0-4bc4-ae60","2024-02-11","16:01:22","Station","Credit Card","Disabled","Standard","Advance","23","London Kings Cross","York","2024-02-12","14:30:00","16:20:00","16:20:00","On Time","None","No"
"00b4d622-9857-4e01-b4d2","2024-01-26","06:32:10","Online","Contactless","Adult","Standard","Advance","43","London Paddington","Liverpool Lime Street","2024-01-27","05:00:00","07:30:00","07:30:00","On Time","None","No"
"00b5ad26-73aa-48b8-bf50","2024-02-08","21:48:25","Station","Credit Card","None","First Class","Advance","27","London Paddington","Reading","2024-02-16","20:15:00","21:15:00","21:15:00","On Time","None","No"
"00bfac75-eca2-49ae-8daf","2024-01-19","00:14:24","Online","Contactless","Disabled","Standard","Off-Peak","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-19","01:30:00","02:00:00","02:00:00","On Time","None","No"
"00c09be5-6ec5-43a2-b0d0","2024-02-07","20:28:09","Online","Credit Card","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-02-08","18:45:00","20:05:00","20:05:00","On Time","None","No"
"00c490ba-cc94-43a5-9bfe","2024-01-22","06:00:26","Online","Credit Card","None","Standard","Anytime","6","Liverpool Lime Street","Manchester Piccadilly","2024-01-22","07:30:00","08:00:00","08:00:00","On Time","None","No"
"00ca820e-c308-4e0b-b08b","2024-01-08","20:22:34","Online","Credit Card","None","Standard","Advance","13","London Paddington","Reading","2024-01-09","18:45:00","19:45:00","19:45:00","On Time","None","No"
"00ceeadb-aced-4093-9aac","2024-01-24","23:09:36","Station","Contactless","None","First Class","Advance","27","London Paddington","Reading","2024-02-02","21:30:00","22:30:00","22:30:00","On Time","None","No"
"00d57dfb-71ee-42ca-a7d7","2024-02-02","07:54:11","Station","Contactless","None","Standard","Advance","35","London Kings Cross","York","2024-02-08","06:15:00","08:05:00","08:48:00","Delayed","Technical Issue","No"
"00d9ce11-f4c1-4547-a21a","2024-01-08","01:07:14","Station","Contactless","None","Standard","Off-Peak","12","London St Pancras","Birmingham New Street","2024-01-08","23:30:00","00:50:00","00:50:00","On Time","None","No"
"00dbc949-3ca6-4a6a-b57d","2024-01-17","08:09:28","Online","Debit Card","None","Standard","Advance","72","London Euston","Manchester Piccadilly","2024-01-18","06:30:00","08:20:00","08:20:00","On Time","None","No"
"00e244d1-526b-4ebf-a641","2024-02-06","04:45:39","Online","Debit Card","Senior","Standard","Anytime","17","London Paddington","Reading","2024-02-06","06:15:00","07:15:00","07:15:00","On Time","None","No"
"00e4f34b-a3f3-4318-a1fc","2024-02-10","08:23:30","Station","Credit Card","None","First Class","Advance","10","Liverpool Lime Street","Manchester Piccadilly","2024-02-14","06:45:00","07:15:00","07:15:00","On Time","None","No"
"00e83427-ac5c-4440-8cc3","2024-02-02","17:25:16","Online","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-02-22","14:45:00","15:15:00","15:15:00","On Time","None","No"
"00e8f07f-1d8c-4323-8a8b","2024-02-06","11:55:29","Station","Contactless","Senior","Standard","Off-Peak","3","Manchester Piccadilly","Liverpool Lime Street","2024-02-06","13:15:00","13:45:00","13:45:00","On Time","None","No"
"00f4cedd-6464-405e-a36e","2024-02-11","06:12:33","Station","Contactless","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-02-27","04:30:00","05:50:00","05:50:00","On Time","None","No"
"00f7b06b-fb4b-4d39-87ed","2024-01-21","10:59:06","Online","Contactless","Senior","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-02-08","09:15:00","09:45:00","09:45:00","On Time","None","No"
"00fbaed5-4b21-4f83-8f31","2024-01-16","15:12:58","Station","Contactless","Adult","Standard","Anytime","17","London Paddington","Reading","2024-01-16","16:30:00","17:30:00","17:30:00","On Time","None","No"
"00fcdf05-a203-41e5-ad08","2024-01-27","10:47:17","Online","Contactless","Senior","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-01-28","09:15:00","09:45:00","10:29:00","Delayed","Weather","No"
"0103066a-ebeb-4d85-aca7","2024-02-01","08:26:47","Online","Credit Card","None","Standard","Advance","13","London Paddington","Reading","2024-02-02","07:45:00","08:45:00","08:45:00","On Time","None","No"
"010818a4-eac3-4b7e-84ca","2024-01-31","06:10:46","Online","Credit Card","None","Standard","Anytime","18","Reading","Swindon","2024-01-31","07:30:00","08:15:00","08:15:00","On Time","None","No"
"010cce68-4df2-4919-aa9b","2024-02-12","21:35:15","Online","Credit Card","None","Standard","Advance","7","London Euston","Birmingham New Street","2024-02-13","20:00:00","21:20:00","21:20:00","On Time","None","No"
"01135fc5-3e34-4b5c-a87c","2024-01-31","01:57:28","Station","Credit Card","Adult","Standard","Advance","56","Manchester Piccadilly","London Euston","2024-02-01","00:15:00","02:05:00","02:05:00","On Time","None","No"
"0117ecc3-38b4-498b-936d","2024-01-15","06:04:34","Station","Contactless","None","Standard","Anytime","25","London Paddington","Reading","2024-01-15","07:30:00","08:30:00","08:30:00","On Time","None","No"
"011f4ce3-3f88-4518-912b","2024-01-13","05:06:12","Online","Debit Card","None","Standard","Off-Peak","107","London Euston","Manchester Piccadilly","2024-01-13","06:30:00","08:20:00","08:20:00","On Time","None","No"
"01277e0d-4e7c-4b6d-8045","2024-01-31","20:06:53","Station","Credit Card","Adult","Standard","Off-Peak","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-31","21:30:00","22:00:00","22:00:00","On Time","None","No"
"0128b416-be36-4c4c-ab01","2024-01-07","13:25:37","Station","Contactless","None","Standard","Advance","7","London Euston","Birmingham New Street","2024-01-08","11:45:00","13:05:00","13:05:00","On Time","None","No"
"012b0bf9-71de-452b-86fa","2024-01-14","06:01:38","Online","Credit Card","None","Standard","Off-Peak","50","York","Peterborough","2024-01-14","07:30:00","08:40:00","no infor","Cancelled","Staff Shortage","Yes"
"0132ba0b-a77c-49dc-a854","2024-02-04","01:21:10","Online","Credit Card","None","Standard","Off-Peak","5","Liverpool Lime Street","Manchester Piccadilly","2024-02-04","02:45:00","03:15:00","03:15:00","On Time","None","No"
"013b12ea-ea22-4f7c-805d","2024-02-08","16:57:36","Online","Credit Card","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-02-15","15:15:00","16:35:00","16:35:00","On Time","None","No"
"0145f99a-8800-4772-8c4f","2024-02-14","01:25:36","Online","Contactless","Adult","Standard","Off-Peak","13","London Paddington","Reading","2024-02-14","23:45:00","00:45:00","00:45:00","On Time","None","No"
"014858eb-0f13-4bd7-92ee","2024-02-07","20:24:54","Online","Credit Card","None","Standard","Advance","3","Birmingham New Street","Coventry","2024-02-08","18:45:00","19:05:00","19:05:00","On Time","None","No"
"01488de6-39d0-44f2-ad33","2024-02-04","15:48:50","Online","Contactless","Adult","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-02-14","14:15:00","14:45:00","14:45:00","On Time","None","No"
"014a102b-f46c-4ac1-807a","2024-01-07","23:50:51","Station","Credit Card","Adult","Standard","Advance","56","Manchester Piccadilly","London Euston","2024-01-08","22:15:00","00:05:00","00:05:00","On Time","None","No"
"014a8f73-bfe7-4104-91aa","2024-01-24","05:05:59","Online","Credit Card","None","Standard","Anytime","13","Birmingham New Street","Nuneaton","2024-01-24","06:30:00","06:50:00","06:50:00","On Time","None","No"
"0151fa35-7e02-4750-bf72","2024-01-06","07:17:27","Online","Credit Card","None","First Class","Off-Peak","41","London Paddington","Reading","2024-01-06","07:45:00","08:45:00","08:45:00","On Time","None","No"
"01530d59-11f4-46e3-9ad7","2024-01-17","04:25:12","Station","Contactless","None","Standard","Advance","35","London Kings Cross","York","2024-01-18","02:45:00","04:35:00","04:35:00","On Time","None","No"
"015a272b-d14e-4971-b42b","2024-02-06","16:44:00","Station","Credit Card","None","Standard","Advance","13","London Paddington","Reading","2024-02-09","15:00:00","16:00:00","16:00:00","On Time","None","No"
"015ef175-1b00-4bc8-b0fd","2024-02-08","09:40:06","Online","Contactless","None","Standard","Advance","6","Reading","Oxford","2024-02-09","08:00:00","08:25:00","08:25:00","On Time","None","No"
"01718eb3-81dd-48de-9d86","2024-02-10","08:20:02","Online","Credit Card","None","Standard","Advance","18","London Paddington","Oxford","2024-02-15","07:45:00","09:15:00","09:15:00","On Time","None","No"
"01727856-0ee9-42e1-955f","2024-01-05","15:54:49","Station","Contactless","None","Standard","Advance","13","London Paddington","Reading","2024-01-06","14:15:00","15:15:00","15:15:00","On Time","None","No"
"01755630-429f-4f22-b678","2024-02-12","07:52:06","Online","Credit Card","Senior","First Class","Advance","6","Manchester Piccadilly","Liverpool Lime Street","2024-02-13","06:15:00","06:45:00","06:45:00","On Time","None","No"
"017ba850-93f7-4abd-84cf","2024-01-03","07:03:45","Station","Contactless","None","First Class","Anytime","19","Manchester Piccadilly","Liverpool Lime Street","2024-01-03","08:30:00","09:00:00","09:00:00","On Time","None","No"
"017be50b-dcdc-4b32-bd45","2024-01-06","21:48:26","Station","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-01-07","20:15:00","20:45:00","20:45:00","On Time","None","No"
"017d3e22-c13c-4d84-9af6","2024-01-26","20:09:01","Online","Credit Card","Adult","Standard","Advance","2","Liverpool Lime Street","Manchester Piccadilly","2024-02-05","18:30:00","19:00:00","19:00:00","On Time","None","No"
"017fce7a-3278-47f9-8bad","2024-02-16","00:31:46","Online","Credit Card","None","Standard","Off-Peak","17","Manchester Piccadilly","Nottingham","2024-02-16","02:00:00","03:00:00","03:00:00","On Time","None","No"
"0181e9d0-7466-4ab7-ad71","2024-02-14","10:25:48","Online","Contactless","None","Standard","Advance","13","London Paddington","Reading","2024-02-29","08:45:00","09:45:00","no infor","Cancelled","Weather Conditions","No"
"018dbd17-6101-4da9-8f12","2024-01-28","15:20:34","Station","Contactless","None","Standard","Off-Peak","53","London Kings Cross","York","2024-01-28","17:45:00","19:35:00","19:35:00","On Time","None","No"
"019b9ece-34fc-4c6d-8884","2024-01-03","06:39:48","Online","Contactless","None","Standard","Anytime","11","Birmingham New Street","Liverpool Lime Street","2024-01-03","08:00:00","09:30:00","09:30:00","On Time","None","No"
"01a34647-fb09-4eda-8fe7","2024-01-05","08:15:16","Online","Credit Card","None","Standard","Advance","18","London Paddington","Oxford","2024-01-06","07:45:00","09:15:00","09:15:00","On Time","None","No"
"01a4d968-153c-4a03-860d","2024-01-14","15:38:16","Online","Credit Card","None","Standard","Off-Peak","53","London Kings Cross","York","2024-01-14","17:00:00","18:50:00","18:50:00","On Time","None","No"
"01a56e8e-e4f7-4c5e-a894","2024-01-16","20:15:06","Online","Credit Card","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-01-17","18:45:00","20:05:00","20:05:00","On Time","None","No"
"01a6a164-b0a2-4b2b-b3fd","2024-02-05","17:24:35","Online","Credit Card","None","Standard","Anytime","16","London St Pancras","Birmingham New Street","2024-02-05","18:45:00","20:05:00","20:05:00","On Time","None","No"
"01ab004a-05ac-4ed0-a050","2024-02-01","06:38:32","Online","Contactless","None","Standard","Anytime","25","London Paddington","Reading","2024-02-01","08:00:00","09:00:00","09:00:00","On Time","None","No"
"01b0aa50-aef6-4c67-8f38","2024-01-15","10:38:46","Online","Contactless","None","Standard","Advance","13","London Paddington","Reading","2024-01-16","09:00:00","10:00:00","10:00:00","On Time","None","No"
"01b545ab-cddf-4bc8-b923","2024-01-13","09:03:45","Station","Credit Card","Disabled","Standard","Off-Peak","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-13","10:30:00","11:00:00","11:00:00","On Time","None","No"
"01ba2ac1-ee34-4f84-9c95","2024-01-19","04:07:19","Online","Credit Card","None","Standard","Advance","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-20","02:30:00","03:00:00","03:00:00","On Time","None","No"
"01c0dfa0-d4de-4b32-89f0","2024-02-02","21:20:03","Station","Contactless","None","Standard","Advance","35","London Kings Cross","York","2024-02-03","19:45:00","21:35:00","21:35:00","On Time","None","No"
"01c1c824-ec37-4143-809e","2024-01-11","06:30:40","Station","Credit Card","None","Standard","Anytime","151","Liverpool Lime Street","London Euston","2024-01-11","08:00:00","10:15:00","11:07:00","Delayed","Weather","No"
"01c3cb10-7d16-4d61-b9f5","2024-01-15","19:03:46","Online","Credit Card","None","First Class","Off-Peak","78","London Euston","Birmingham New Street","2024-01-15","20:30:00","21:50:00","21:50:00","On Time","None","No"
"01c4a603-6e27-4561-a3c7","2024-01-12","23:59:36","Station","Credit Card","Adult","Standard","Advance","48","London Euston","Manchester Piccadilly","2024-01-13","22:15:00","00:05:00","00:05:00","On Time","None","No"
"01cca35d-0176-420d-b6a4","2024-01-12","00:06:08","Online","Credit Card","None","Standard","Advance","3","Liverpool Lime Street","Manchester Piccadilly","2024-01-13","22:30:00","23:00:00","23:00:00","On Time","None","No"
"01cd475c-6086-4062-bd89","2024-01-26","17:38:40","Station","Credit Card","Adult","Standard","Advance","4","London Euston","Birmingham New Street","2024-01-27","16:00:00","17:20:00","17:20:00","On Time","None","No"
"01d092c5-ba0f-4f79-b99e","2024-02-14","20:22:29","Online","Credit Card","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-02-28","18:45:00","20:05:00","20:05:00","On Time","None","No"
"01d432c3-1ff4-4186-afd1","2024-01-07","21:42:49","Online","Credit Card","Adult","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-01-08","20:00:00","20:30:00","20:30:00","On Time","None","No"
"01d68591-d0be-419b-8be2","2024-01-13","18:20:59","Online","Credit Card","Senior","Standard","Off-Peak","23","London St Pancras","Leicester","2024-01-13","18:45:00","19:45:00","19:45:00","On Time","None","No"
"01df916f-4291-41ec-a37d","2023-12-31","01:43:09","Station","Credit Card","None","Standard","Advance","37","London Euston","York","2024-01-01","00:00:00","01:50:00","02:07:00","Delayed","Signal Failure","No"
"01e30b75-e89b-4f04-8c77","2024-01-03","06:27:42","Online","Contactless","None","Standard","Anytime","13","London Euston","Birmingham New Street","2024-01-03","07:45:00","09:05:00","09:05:00","On Time","None","No"
"01eeeb4d-bd63-4ef0-9991","2024-01-08","18:28:32","Station","Contactless","None","Standard","Off-Peak","53","London Kings Cross","York","2024-01-08","19:45:00","21:35:00","21:35:00","On Time","None","No"
"01f0cdde-d1ac-455c-a0ec","2024-02-02","17:17:03","Online","Credit Card","Disabled","Standard","Advance","4","London Euston","Birmingham New Street","2024-02-11","15:45:00","17:05:00","17:05:00","On Time","None","No"
"01f46164-35b5-48d3-9872","2024-01-04","18:17:38","Online","Credit Card","Senior","Standard","Anytime","31","London St Pancras","Leicester","2024-01-04","18:45:00","19:45:00","19:45:00","On Time","None","No"
"01f491d4-1555-40a2-bdca","2024-02-06","04:26:52","Online","Contactless","None","Standard","Advance","35","London Kings Cross","York","2024-02-29","02:45:00","04:35:00","04:35:00","On Time","None","No"
"02051bb3-6229-42b8-9704","2024-02-05","06:07:56","Online","Credit Card","None","Standard","Advance","3","Liverpool Lime Street","Manchester Piccadilly","2024-02-06","04:30:00","05:00:00","05:00:00","On Time","None","No"
"0207aef2-2550-4c6f-9e38","2024-01-23","12:21:42","Station","Credit Card","None","Standard","Advance","7","London Euston","Birmingham New Street","2024-01-24","10:45:00","12:05:00","12:05:00","On Time","None","No"
"0207c723-4d78-49ed-9b85","2024-01-31","17:24:53","Online","Credit Card","Disabled","Standard","Advance","23","London Kings Cross","York","2024-02-01","15:45:00","17:35:00","17:35:00","On Time","None","No"
"0208abdd-6d3c-456d-8901","2024-02-06","20:06:27","Online","Contactless","Adult","Standard","Advance","50","Liverpool Lime Street","London Euston","2024-02-07","18:30:00","20:45:00","20:45:00","On Time","None","No"
"02099185-37a1-4d0b-93cb","2024-02-09","08:03:26","Online","Credit Card","Disabled","Standard","Advance","15","Birmingham New Street","London St Pancras","2024-02-26","06:30:00","07:50:00","07:50:00","On Time","None","No"
"020991f9-9643-463f-b93f","2024-01-17","09:12:53","Online","Credit Card","None","Standard","Advance","34","York","Peterborough","2024-01-18","07:30:00","08:40:00","08:40:00","On Time","None","No"
"020b300b-285b-4815-a246","2024-01-24","03:30:38","Station","Credit Card","Disabled","Standard","Off-Peak","3","Manchester Piccadilly","Liverpool Lime Street","2024-01-24","05:00:00","05:30:00","05:30:00","On Time","None","No"
"020b8a67-6206-49fe-a0fd","2024-02-05","14:43:09","Station","Credit Card","None","First Class","Advance","57","London Kings Cross","York","2024-02-28","13:00:00","14:50:00","14:50:00","On Time","None","No"
"0213132c-f397-4d63-aad7","2024-01-29","17:29:07","Online","Credit Card","None","Standard","Anytime","16","London St Pancras","Birmingham New Street","2024-01-29","18:45:00","20:05:00","20:05:00","On Time","None","No"
"021b3b1c-813d-444f-be35","2024-01-26","06:04:47","Online","Credit Card","None","Standard","Anytime","70","London Kings Cross","York","2024-01-26","07:30:00","09:20:00","09:20:00","On Time","None","No"
"021bf266-843b-436f-8293","2024-01-04","17:02:21","Station","Contactless","Adult","Standard","Anytime","26","Birmingham New Street","York","2024-01-04","18:30:00","20:15:00","20:15:00","On Time","None","No"
"02260229-22e3-435d-b4fa","2024-01-22","11:21:48","Online","Credit Card","None","Standard","Off-Peak","19","London Paddington","Reading","2024-01-22","12:45:00","13:45:00","13:45:00","On Time","None","No"
"0227e9ea-2172-4681-a907","2024-01-07","18:34:16","Online","Credit Card","None","Standard","Off-Peak","10","London Euston","Birmingham New Street","2024-01-07","20:00:00","21:20:00","no infor","Cancelled","Staff Shortage","No"
"02297d60-ca86-45bb-b859","2024-02-14","19:33:49","Station","Credit Card","None","Standard","Advance","5","Birmingham New Street","Tamworth","2024-02-15","17:45:00","18:05:00","18:05:00","On Time","None","No"
"0231e4ab-0fee-4341-a032","2024-01-04","21:53:26","Station","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-01-05","20:15:00","20:45:00","20:45:00","On Time","None","No"
"023b6e73-3019-48df-93c7","2024-02-07","20:34:32","Station","Credit Card","None","Standard","Advance","5","Birmingham New Street","Stafford","2024-02-10","17:45:00","18:15:00","18:15:00","On Time","None","No"
"0240f944-3db1-446c-9fe9","2024-01-22","23:47:50","Station","Credit Card","None","Standard","Advance","35","London Kings Cross","York","2024-01-23","22:15:00","00:05:00","00:05:00","On Time","None","No"
"0241e1f8-99fe-416a-b645","2024-01-29","18:03:59","Station","Contactless","Adult","Standard","Advance","6","Liverpool Lime Street","Sheffield","2024-01-30","16:30:00","17:45:00","17:45:00","On Time","None","No"
"024251f5-7ec9-452b-bd5c","2024-01-25","13:34:34","Online","Contactless","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-01-26","12:00:00","13:20:00","13:20:00","On Time","None","No"
