ID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
48.0,female,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0
49.0,male,group C,high school,standard,completed,82.0,84.0,82.0
50.0,male,group E,some college,standard,none,53.0,55.0,48.0
51.0,male,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0
52.0,male,group C,some college,standard,none,53.0,44.0,42.0
53.0,male,group D,high school,standard,none,88.0,78.0,75.0
54.0,female,group C,some high school,free/reduced,completed,71.0,84.0,87.0
55.0,female,group C,high school,free/reduced,none,33.0,41.0,43.0
56.0,female,group E,associate's degree,standard,completed,82.0,85.0,86.0
57.0,male,group D,associate's degree,standard,none,52.0,55.0,49.0
58.0,male,group D,some college,standard,completed,58.0,59.0,58.0
59.0,female,group C,some high school,free/reduced,none,0.0,17.0,10.0
60.0,male,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0
61.0,male,group A,some high school,free/reduced,none,39.0,39.0,34.0
62.0,male,group A,associate's degree,free/reduced,none,62.0,61.0,55.0
63.0,female,group C,associate's degree,standard,none,69.0,80.0,71.0
64.0,female,group D,some high school,standard,none,59.0,58.0,59.0
65.0,male,group B,some high school,standard,none,67.0,64.0,61.0
66.0,male,group D,some high school,free/reduced,none,45.0,37.0,37.0
67.0,female,group C,some college,standard,none,60.0,72.0,74.0
68.0,male,group B,associate's degree,free/reduced,none,61.0,58.0,56.0
69.0,female,group C,associate's degree,standard,none,39.0,64.0,57.0
70.0,female,group D,some college,free/reduced,completed,58.0,63.0,73.0
71.0,male,group D,some college,standard,completed,63.0,55.0,63.0
72.0,female,group A,associate's degree,free/reduced,none,41.0,51.0,48.0
73.0,male,group C,some high school,free/reduced,none,61.0,57.0,56.0
74.0,male,group C,some high school,standard,none,49.0,49.0,41.0
75.0,male,group B,associate's degree,free/reduced,none,44.0,41.0,38.0
76.0,male,group E,some high school,standard,none,30.0,26.0,22.0
77.0,male,group A,bachelor's degree,standard,completed,80.0,78.0,81.0
78.0,female,group D,some high school,standard,completed,61.0,74.0,72.0
79.0,female,group E,master's degree,standard,none,62.0,68.0,68.0
80.0,female,group B,associate's degree,standard,none,47.0,49.0,50.0
81.0,male,group B,high school,free/reduced,none,49.0,45.0,45.0
82.0,male,group A,some college,free/reduced,completed,50.0,47.0,54.0
83.0,male,group E,associate's degree,standard,none,72.0,64.0,63.0
84.0,male,group D,high school,free/reduced,none,42.0,39.0,34.0
85.0,female,group C,some college,standard,none,73.0,80.0,82.0
86.0,female,group C,some college,free/reduced,none,76.0,83.0,88.0
87.0,female,group D,associate's degree,standard,none,71.0,71.0,74.0
88.0,female,group A,some college,standard,none,58.0,70.0,67.0
89.0,female,group D,some high school,standard,none,73.0,86.0,82.0
90.0,female,group C,bachelor's degree,standard,none,65.0,72.0,74.0
91.0,male,group C,high school,free/reduced,none,27.0,34.0,36.0
92.0,male,group C,high school,standard,none,71.0,79.0,71.0
93.0,male,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0
94.0,female,group B,some college,standard,none,79.0,86.0,92.0
95.0,male,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0
96.0,male,group B,some high school,standard,completed,65.0,66.0,62.0
97.0,female,group E,some college,standard,completed,63.0,72.0,70.0
98.0,female,group D,some college,free/reduced,none,58.0,67.0,62.0
99.0,female,group D,bachelor's degree,standard,none,65.0,67.0,62.0
100.0,male,group B,some college,standard,none,79.0,67.0,67.0
101.0,male,group D,bachelor's degree,standard,completed,68.0,74.0,74.0
102.0,female,group D,associate's degree,standard,none,85.0,91.0,89.0
103.0,male,group B,high school,standard,completed,60.0,44.0,47.0
104.0,male,group C,some college,standard,completed,98.0,86.0,90.0
105.0,female,group C,some college,standard,none,58.0,67.0,72.0
106.0,female,group D,master's degree,standard,none,87.0,100.0,100.0
107.0,male,group E,associate's degree,standard,completed,66.0,63.0,64.0
108.0,female,group B,associate's degree,free/reduced,none,52.0,76.0,70.0
109.0,female,group B,some high school,standard,none,70.0,64.0,72.0
110.0,female,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0
111.0,male,group C,high school,standard,none,62.0,55.0,49.0
112.0,male,group A,associate's degree,standard,none,54.0,53.0,47.0
113.0,female,group D,some college,standard,none,51.0,58.0,54.0
114.0,female,group E,bachelor's degree,standard,completed,99.0,100.0,100.0
115.0,male,group C,high school,standard,none,84.0,77.0,74.0
116.0,female,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0
117.0,female,group D,bachelor's degree,standard,none,78.0,82.0,79.0
118.0,female,group D,some high school,standard,none,51.0,63.0,61.0
119.0,female,group C,some college,standard,none,55.0,69.0,65.0
120.0,female,group C,bachelor's degree,standard,completed,79.0,92.0,89.0
121.0,male,group B,associate's degree,standard,completed,91.0,89.0,92.0
122.0,female,group C,some college,standard,completed,88.0,93.0,93.0
123.0,male,group D,high school,free/reduced,none,63.0,57.0,56.0
124.0,male,group E,some college,standard,none,83.0,80.0,73.0
125.0,female,group B,high school,standard,none,87.0,95.0,86.0
126.0,male,group B,some high school,standard,none,72.0,68.0,67.0
127.0,male,group D,some college,standard,completed,65.0,77.0,74.0
128.0,male,group D,master's degree,standard,none,82.0,82.0,74.0
129.0,female,group A,bachelor's degree,standard,none,51.0,49.0,51.0
130.0,male,group D,master's degree,standard,none,89.0,84.0,82.0
131.0,male,group C,some high school,free/reduced,completed,53.0,37.0,40.0
132.0,male,group E,some college,free/reduced,completed,87.0,74.0,70.0
133.0,female,group C,some college,standard,completed,75.0,81.0,84.0
134.0,male,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0
135.0,male,group C,bachelor's degree,standard,none,58.0,55.0,48.0
136.0,male,group B,some high school,standard,completed,51.0,54.0,41.0
137.0,male,group E,high school,standard,none,70.0,55.0,56.0
138.0,female,group C,associate's degree,standard,none,59.0,66.0,67.0
139.0,male,group D,some college,standard,completed,71.0,61.0,69.0
140.0,female,group D,some high school,standard,none,76.0,72.0,71.0
141.0,female,group C,some college,free/reduced,none,59.0,62.0,64.0
142.0,female,group E,some college,free/reduced,completed,42.0,55.0,54.0
143.0,male,group A,high school,standard,none,57.0,43.0,47.0
144.0,male,group D,some college,standard,none,88.0,73.0,78.0
145.0,female,group C,some college,free/reduced,none,22.0,39.0,33.0
146.0,male,group B,some high school,standard,none,88.0,84.0,75.0
147.0,male,group C,associate's degree,free/reduced,none,73.0,68.0,66.0
148.0,female,group D,bachelor's degree,standard,completed,68.0,75.0,81.0
149.0,male,group E,associate's degree,free/reduced,completed,100.0,100.0,93.0
150.0,male,group A,some high school,standard,completed,62.0,67.0,69.0
151.0,male,group A,bachelor's degree,standard,none,77.0,67.0,68.0
152.0,female,group B,associate's degree,standard,completed,59.0,70.0,66.0
153.0,male,group D,bachelor's degree,standard,none,54.0,49.0,47.0
154.0,male,group D,some high school,standard,none,62.0,67.0,61.0
155.0,female,group C,some college,standard,completed,70.0,89.0,88.0
156.0,female,group E,high school,free/reduced,completed,66.0,74.0,78.0
157.0,male,group B,some college,free/reduced,none,60.0,60.0,60.0
158.0,female,group B,associate's degree,standard,completed,61.0,86.0,87.0
159.0,male,group D,associate's degree,free/reduced,none,66.0,62.0,64.0
160.0,male,group B,associate's degree,free/reduced,completed,82.0,78.0,74.0
161.0,female,group E,some college,free/reduced,completed,75.0,88.0,85.0
162.0,male,group B,master's degree,free/reduced,none,49.0,53.0,52.0
163.0,male,group C,high school,standard,none,52.0,53.0,49.0
164.0,female,group E,master's degree,standard,none,81.0,92.0,91.0
165.0,female,group C,bachelor's degree,standard,completed,96.0,100.0,100.0
166.0,male,group C,high school,free/reduced,completed,53.0,51.0,51.0
167.0,female,group B,master's degree,free/reduced,completed,58.0,76.0,78.0
168.0,female,group B,high school,standard,completed,68.0,83.0,78.0
169.0,female,group C,some college,free/reduced,completed,67.0,75.0,70.0
170.0,male,group A,high school,standard,completed,72.0,73.0,74.0
171.0,male,group E,some high school,standard,none,94.0,88.0,78.0
172.0,female,group D,some college,standard,none,79.0,86.0,81.0
173.0,female,group C,associate's degree,standard,none,63.0,67.0,70.0
174.0,female,group C,bachelor's degree,free/reduced,completed,43.0,51.0,54.0
175.0,female,group C,master's degree,standard,completed,81.0,91.0,87.0
176.0,female,group B,high school,free/reduced,completed,46.0,54.0,58.0
177.0,female,group C,associate's degree,standard,completed,71.0,77.0,77.0
178.0,female,group B,master's degree,free/reduced,completed,52.0,70.0,62.0
179.0,female,group D,some high school,standard,completed,97.0,100.0,100.0
180.0,male,group C,master's degree,free/reduced,completed,62.0,68.0,75.0
181.0,female,group C,some college,free/reduced,none,46.0,64.0,66.0
182.0,female,group E,high school,standard,none,50.0,50.0,47.0
183.0,female,group D,associate's degree,standard,none,65.0,69.0,70.0
184.0,male,group C,some high school,free/reduced,completed,45.0,52.0,49.0
185.0,male,group C,associate's degree,free/reduced,completed,65.0,67.0,65.0
186.0,male,group E,high school,standard,none,80.0,76.0,65.0
187.0,male,group D,some high school,standard,completed,62.0,66.0,68.0
188.0,male,group B,some high school,free/reduced,none,48.0,52.0,45.0
189.0,female,group C,bachelor's degree,standard,none,77.0,88.0,87.0
190.0,female,group E,associate's degree,standard,none,66.0,65.0,69.0
191.0,male,group D,some college,standard,completed,76.0,83.0,79.0
192.0,female,group B,some high school,standard,none,62.0,64.0,66.0
193.0,male,group D,some college,standard,completed,77.0,62.0,62.0
194.0,female,group C,master's degree,standard,completed,69.0,84.0,85.0
195.0,male,group D,associate's degree,standard,none,61.0,55.0,52.0
196.0,male,group C,some high school,free/reduced,completed,59.0,69.0,65.0
197.0,male,group E,high school,free/reduced,none,55.0,56.0,51.0
198.0,female,group B,some college,free/reduced,none,45.0,53.0,55.0
199.0,female,group B,bachelor's degree,free/reduced,none,78.0,79.0,76.0
200.0,female,group C,associate's degree,standard,completed,67.0,84.0,86.0
201.0,female,group D,some college,free/reduced,none,65.0,81.0,77.0
202.0,male,group C,associate's degree,standard,none,69.0,77.0,69.0
203.0,female,group B,associate's degree,standard,none,57.0,69.0,68.0
204.0,male,group C,some college,standard,none,59.0,41.0,42.0
205.0,male,group D,some high school,standard,completed,74.0,71.0,78.0
206.0,male,group E,bachelor's degree,standard,none,82.0,62.0,62.0
207.0,male,group E,high school,standard,completed,81.0,80.0,76.0
208.0,female,group B,some college,free/reduced,none,74.0,81.0,76.0
209.0,female,group B,some college,free/reduced,none,58.0,61.0,66.0
210.0,male,group D,some high school,free/reduced,completed,80.0,79.0,79.0
211.0,male,group C,some college,free/reduced,none,35.0,28.0,27.0
212.0,female,group C,high school,free/reduced,none,42.0,62.0,60.0
213.0,male,group C,associate's degree,free/reduced,completed,60.0,51.0,56.0
214.0,male,group E,high school,standard,completed,87.0,91.0,81.0
215.0,male,group B,some high school,standard,completed,84.0,83.0,75.0
216.0,female,group E,associate's degree,free/reduced,completed,83.0,86.0,88.0
217.0,female,group C,high school,free/reduced,none,34.0,42.0,39.0
218.0,male,group B,high school,free/reduced,none,66.0,77.0,70.0
219.0,male,group B,some high school,standard,completed,61.0,56.0,56.0
220.0,female,group D,high school,standard,completed,56.0,68.0,74.0
221.0,male,group B,associate's degree,standard,none,87.0,85.0,73.0
222.0,female,group C,some high school,free/reduced,none,55.0,65.0,62.0
223.0,male,group D,some high school,standard,none,86.0,80.0,75.0
224.0,female,group B,associate's degree,standard,completed,52.0,66.0,73.0
225.0,female,group E,master's degree,free/reduced,none,45.0,56.0,54.0
226.0,female,group C,some college,standard,none,72.0,72.0,71.0
227.0,male,group D,high school,standard,none,57.0,50.0,54.0
228.0,male,group A,some high school,free/reduced,none,68.0,72.0,64.0
229.0,female,group C,some college,standard,completed,88.0,95.0,94.0
230.0,male,group D,some college,standard,none,76.0,64.0,66.0
231.0,male,group C,associate's degree,standard,none,46.0,43.0,42.0
232.0,female,group B,bachelor's degree,standard,none,67.0,86.0,83.0
233.0,male,group E,some high school,standard,none,92.0,87.0,78.0
234.0,male,group C,bachelor's degree,standard,completed,83.0,82.0,84.0
235.0,male,group D,associate's degree,standard,none,80.0,75.0,77.0
236.0,male,group D,bachelor's degree,free/reduced,none,63.0,66.0,67.0
237.0,female,group D,some high school,standard,completed,64.0,60.0,74.0
238.0,male,group B,some college,standard,none,54.0,52.0,51.0
239.0,male,group C,associate's degree,standard,none,84.0,80.0,80.0
240.0,male,group D,high school,free/reduced,completed,73.0,68.0,66.0
241.0,female,group E,bachelor's degree,standard,none,80.0,83.0,83.0
242.0,female,group D,high school,standard,none,56.0,52.0,55.0
243.0,male,group E,some college,standard,none,59.0,51.0,43.0
244.0,male,group D,some high school,standard,none,75.0,74.0,69.0
245.0,male,group C,associate's degree,standard,none,85.0,76.0,71.0
246.0,male,group E,associate's degree,standard,none,89.0,76.0,74.0
247.0,female,group B,high school,standard,completed,58.0,70.0,68.0
248.0,female,group B,high school,standard,none,65.0,64.0,62.0
249.0,male,group C,high school,standard,none,68.0,60.0,53.0
250.0,male,group A,some high school,standard,completed,47.0,49.0,49.0
251.0,female,group D,some college,free/reduced,none,71.0,83.0,83.0
252.0,female,group B,some high school,standard,completed,60.0,70.0,70.0
253.0,male,group D,master's degree,standard,none,80.0,80.0,72.0
254.0,male,group D,high school,standard,none,54.0,52.0,52.0
255.0,female,group E,some college,standard,none,62.0,73.0,70.0
256.0,female,group C,associate's degree,free/reduced,none,64.0,73.0,68.0
257.0,male,group C,associate's degree,standard,completed,78.0,77.0,77.0
258.0,female,group B,some college,standard,none,70.0,75.0,78.0
259.0,female,group C,master's degree,free/reduced,completed,65.0,81.0,81.0
260.0,female,group C,some high school,free/reduced,completed,64.0,79.0,77.0
261.0,male,group C,some college,standard,completed,79.0,79.0,78.0
262.0,female,group C,some high school,free/reduced,none,44.0,50.0,51.0
263.0,female,group E,high school,standard,none,99.0,93.0,90.0
264.0,male,group D,high school,standard,none,76.0,73.0,68.0
265.0,male,group D,some high school,free/reduced,none,59.0,42.0,41.0
266.0,female,group C,bachelor's degree,standard,none,63.0,75.0,81.0
267.0,female,group D,high school,standard,none,69.0,72.0,77.0
268.0,female,group D,associate's degree,standard,completed,88.0,92.0,95.0
269.0,female,group E,some college,free/reduced,none,71.0,76.0,70.0
270.0,male,group C,bachelor's degree,standard,none,69.0,63.0,61.0
271.0,male,group C,some college,standard,none,58.0,49.0,42.0
272.0,female,group D,associate's degree,free/reduced,none,47.0,53.0,58.0
273.0,female,group D,some college,standard,none,65.0,70.0,71.0
274.0,male,group B,some college,standard,completed,88.0,85.0,76.0
275.0,male,group C,bachelor's degree,standard,none,83.0,78.0,73.0
276.0,female,group C,some high school,standard,completed,85.0,92.0,93.0
277.0,female,group E,high school,standard,completed,59.0,63.0,75.0
278.0,female,group C,some high school,free/reduced,none,65.0,86.0,80.0
279.0,male,group B,bachelor's degree,free/reduced,none,73.0,56.0,57.0
280.0,male,group D,high school,standard,none,53.0,52.0,42.0
281.0,male,group D,high school,standard,none,45.0,48.0,46.0
282.0,female,group D,bachelor's degree,free/reduced,none,73.0,79.0,84.0
283.0,female,group D,some college,free/reduced,completed,70.0,78.0,78.0
284.0,female,group B,some high school,standard,none,37.0,46.0,46.0
285.0,male,group B,associate's degree,standard,completed,81.0,82.0,82.0
286.0,male,group E,associate's degree,standard,completed,97.0,82.0,88.0
287.0,female,group B,some high school,standard,none,67.0,89.0,82.0
288.0,male,group B,bachelor's degree,free/reduced,none,88.0,75.0,76.0
289.0,male,group E,some high school,standard,completed,77.0,76.0,77.0
290.0,male,group C,associate's degree,standard,none,76.0,70.0,68.0
291.0,male,group D,some high school,standard,none,86.0,73.0,70.0
292.0,male,group C,some high school,standard,completed,63.0,60.0,57.0
293.0,female,group E,bachelor's degree,standard,none,65.0,73.0,75.0
294.0,male,group D,high school,free/reduced,completed,78.0,77.0,80.0
295.0,male,group B,associate's degree,free/reduced,none,67.0,62.0,60.0
296.0,male,group A,some high school,standard,completed,46.0,41.0,43.0
297.0,male,group E,associate's degree,standard,completed,71.0,74.0,68.0
298.0,male,group C,high school,free/reduced,completed,40.0,46.0,50.0
299.0,male,group D,associate's degree,free/reduced,none,90.0,87.0,75.0
300.0,male,group A,some college,free/reduced,completed,81.0,78.0,81.0
301.0,male,group D,some high school,free/reduced,none,56.0,54.0,52.0
302.0,female,group C,associate's degree,standard,completed,67.0,84.0,81.0
303.0,male,group B,associate's degree,standard,none,80.0,76.0,64.0
304.0,female,group C,associate's degree,standard,completed,74.0,75.0,83.0
305.0,male,group A,some college,standard,none,69.0,67.0,69.0
306.0,male,group E,some college,standard,completed,99.0,87.0,81.0
307.0,male,group C,some high school,standard,none,51.0,52.0,44.0
308.0,female,group B,associate's degree,free/reduced,none,53.0,71.0,67.0
309.0,female,group D,high school,free/reduced,none,49.0,57.0,52.0
310.0,female,group B,associate's degree,standard,none,73.0,76.0,80.0
311.0,male,group B,bachelor's degree,standard,none,66.0,60.0,57.0
312.0,male,group D,bachelor's degree,standard,completed,67.0,61.0,68.0
313.0,female,group C,associate's degree,free/reduced,completed,68.0,67.0,69.0
314.0,female,group C,bachelor's degree,standard,completed,59.0,64.0,75.0
315.0,male,group C,high school,standard,none,71.0,66.0,65.0
316.0,female,group D,master's degree,standard,completed,77.0,,91.0
317.0,male,group C,associate's degree,standard,none,83.0,72.0,78.0
318.0,male,group B,bachelor's degree,standard,none,63.0,71.0,69.0
319.0,female,group D,associate's degree,free/reduced,none,56.0,65.0,63.0
320.0,female,group C,high school,free/reduced,completed,67.0,79.0,84.0
321.0,female,group E,high school,standard,none,75.0,86.0,79.0
322.0,female,group C,some college,standard,none,71.0,81.0,80.0
323.0,female,group C,some high school,free/reduced,none,43.0,53.0,53.0
324.0,female,group C,high school,free/reduced,none,41.0,46.0,43.0
325.0,female,group C,some college,standard,none,82.0,90.0,94.0
326.0,male,group C,some college,standard,none,61.0,61.0,62.0
327.0,male,group A,some college,free/reduced,none,28.0,23.0,19.0
328.0,male,group C,associate's degree,standard,completed,82.0,75.0,77.0
329.0,female,group B,some high school,standard,none,41.0,55.0,51.0
330.0,male,group C,high school,standard,none,71.0,60.0,61.0
331.0,male,group C,associate's degree,standard,none,47.0,37.0,35.0
332.0,male,group E,associate's degree,standard,completed,62.0,56.0,53.0
333.0,male,group B,associate's degree,standard,none,90.0,78.0,81.0
334.0,female,group C,bachelor's degree,standard,none,83.0,93.0,95.0
335.0,female,group B,some college,free/reduced,none,61.0,68.0,66.0
336.0,male,group D,some high school,standard,completed,76.0,70.0,69.0
337.0,male,group C,associate's degree,standard,none,49.0,51.0,43.0
338.0,female,group B,some high school,free/reduced,none,24.0,38.0,27.0
339.0,female,group D,some high school,free/reduced,completed,35.0,55.0,60.0
340.0,male,group C,high school,free/reduced,none,58.0,61.0,52.0
341.0,female,group C,high school,standard,none,61.0,73.0,63.0
342.0,female,group B,high school,standard,completed,69.0,76.0,74.0
343.0,male,group D,associate's degree,standard,completed,67.0,72.0,67.0
344.0,male,group D,some college,standard,none,79.0,73.0,67.0
345.0,female,group C,high school,standard,none,72.0,80.0,75.0
346.0,male,group B,some college,standard,none,62.0,61.0,57.0
347.0,female,group C,bachelor's degree,standard,completed,77.0,94.0,95.0
348.0,male,group D,high school,free/reduced,none,75.0,74.0,66.0
349.0,male,group E,associate's degree,standard,none,87.0,74.0,76.0
350.0,female,group B,bachelor's degree,standard,none,52.0,65.0,69.0
351.0,male,group E,some college,standard,none,66.0,57.0,52.0
352.0,female,group C,some college,standard,completed,63.0,78.0,80.0
353.0,female,group C,associate's degree,standard,none,46.0,58.0,57.0
354.0,female,group C,some college,standard,none,59.0,71.0,70.0
355.0,female,group B,bachelor's degree,standard,none,61.0,72.0,70.0
356.0,male,group A,associate's degree,standard,none,63.0,61.0,61.0
357.0,female,group C,some college,free/reduced,completed,42.0,66.0,69.0
358.0,male,group D,some college,free/reduced,none,59.0,62.0,61.0
359.0,female,group D,some college,standard,none,80.0,90.0,89.0
360.0,female,group B,high school,standard,none,58.0,62.0,59.0
361.0,male,group B,some high school,standard,completed,85.0,84.0,78.0
362.0,female,group C,some college,standard,none,52.0,58.0,58.0
363.0,female,group D,some high school,free/reduced,none,27.0,34.0,32.0
364.0,male,group C,some college,standard,none,59.0,60.0,58.0
365.0,male,group A,bachelor's degree,free/reduced,completed,49.0,58.0,60.0
366.0,male,group C,high school,standard,completed,69.0,58.0,53.0
367.0,male,group C,bachelor's degree,free/reduced,none,61.0,66.0,61.0
368.0,female,group A,some high school,free/reduced,none,44.0,64.0,58.0
369.0,female,group D,some high school,standard,none,73.0,84.0,85.0
370.0,male,group E,some college,standard,none,84.0,77.0,71.0
371.0,female,group C,some college,free/reduced,completed,45.0,73.0,70.0
372.0,male,group D,some high school,standard,none,74.0,74.0,72.0
373.0,female,group D,some college,standard,completed,82.0,97.0,96.0
374.0,female,group D,bachelor's degree,standard,none,59.0,70.0,73.0
375.0,male,group E,associate's degree,free/reduced,none,46.0,43.0,41.0
376.0,female,group D,some high school,standard,none,80.0,90.0,82.0
377.0,female,group D,master's degree,free/reduced,completed,85.0,95.0,100.0
378.0,female,group A,some high school,standard,none,71.0,83.0,77.0
379.0,male,group A,bachelor's degree,standard,none,66.0,64.0,62.0
380.0,female,group B,associate's degree,standard,none,80.0,86.0,83.0
381.0,male,group C,associate's degree,standard,completed,87.0,100.0,95.0
382.0,male,group C,master's degree,free/reduced,none,79.0,81.0,71.0
383.0,female,group E,some high school,free/reduced,none,38.0,49.0,45.0
384.0,female,group A,some high school,free/reduced,none,38.0,43.0,43.0
385.0,female,group E,some college,standard,none,67.0,76.0,75.0
386.0,female,group E,bachelor's degree,standard,none,64.0,73.0,70.0
387.0,female,group C,associate's degree,free/reduced,none,57.0,78.0,67.0
388.0,female,group D,high school,standard,none,62.0,64.0,64.0
389.0,male,group D,master's degree,standard,none,73.0,70.0,75.0
390.0,male,group E,some high school,free/reduced,completed,73.0,67.0,59.0
391.0,female,group D,some college,standard,none,77.0,68.0,77.0
392.0,male,group E,some college,standard,none,76.0,67.0,67.0
393.0,male,group C,associate's degree,standard,completed,57.0,54.0,56.0
394.0,female,group C,some high school,standard,completed,65.0,74.0,77.0
395.0,male,group A,high school,free/reduced,none,48.0,45.0,41.0
396.0,female,group B,high school,free/reduced,none,50.0,67.0,63.0
397.0,female,group C,associate's degree,standard,none,85.0,89.0,95.0
398.0,male,group B,some high school,standard,none,74.0,63.0,57.0
399.0,male,group D,some high school,standard,none,60.0,59.0,54.0
400.0,female,group C,some high school,standard,completed,59.0,54.0,67.0
401.0,male,group A,some college,standard,none,53.0,43.0,43.0
402.0,female,group A,some college,free/reduced,none,49.0,65.0,55.0
403.0,female,group D,high school,standard,completed,88.0,99.0,100.0
404.0,female,group C,high school,standard,,54.0,59.0,62.0
405.0,female,group C,some high school,standard,none,63.0,73.0,68.0
406.0,male,group B,associate's degree,standard,completed,65.0,65.0,63.0
407.0,female,group B,associate's degree,standard,none,82.0,80.0,77.0
408.0,female,group D,high school,free/reduced,completed,52.0,57.0,56.0
409.0,male,group D,associate's degree,standard,completed,87.0,84.0,85.0
410.0,female,group D,master's degree,standard,completed,70.0,71.0,74.0
411.0,male,group E,some college,standard,completed,84.0,83.0,78.0
412.0,male,group D,associate's degree,standard,none,71.0,66.0,60.0
413.0,male,group B,some high school,standard,completed,63.0,67.0,67.0
414.0,female,group C,bachelor's degree,free/reduced,completed,51.0,72.0,79.0
415.0,male,group E,high school,standard,none,84.0,73.0,69.0
416.0,male,group C,bachelor's degree,standard,completed,71.0,74.0,68.0
417.0,male,group C,associate's degree,standard,none,74.0,73.0,67.0
418.0,male,group D,some college,standard,none,68.0,59.0,62.0
419.0,male,group E,high school,free/reduced,completed,57.0,56.0,54.0
420.0,female,group C,associate's degree,free/reduced,completed,82.0,93.0,93.0
421.0,female,group D,high school,standard,completed,57.0,58.0,64.0
422.0,female,group D,master's degree,free/reduced,completed,47.0,58.0,67.0
423.0,female,group A,some high school,standard,completed,59.0,85.0,80.0
424.0,male,group B,some college,free/reduced,none,41.0,39.0,34.0
425.0,female,group C,some college,free/reduced,none,62.0,67.0,62.0
426.0,male,group C,bachelor's degree,standard,none,86.0,83.0,86.0
427.0,male,group C,some high school,free/reduced,none,69.0,71.0,65.0
428.0,male,group A,some high school,free/reduced,none,65.0,59.0,53.0
429.0,male,group C,some high school,free/reduced,none,68.0,63.0,54.0
430.0,male,group C,associate's degree,free/reduced,none,64.0,66.0,59.0
431.0,,group C,high school,standard,none,61.0,72.0,70.0
432.0,male,group C,high school,standard,none,61.0,56.0,55.0
433.0,female,group A,some high school,free/reduced,none,47.0,59.0,50.0
434.0,male,group C,some high school,standard,none,73.0,66.0,66.0
